parametro_variado,nivel,is_baseline,n_seeds,fitness_medio,fitness_min,fitness_max,fitness_std,tempo_medio_s,geracoes_estab_media,n_avaliacoes_objetivo
population_size,10,False,5,1.3341056270251233,1.315645345004041,1.3836570860272313,0.025215928596002937,2.1711700439453123,6.2,110
population_size,20,True,5,1.2926342671943014,1.231929999412178,1.319341087379538,0.031653452388793066,4.176052045822144,4.0,220
population_size,40,False,5,1.302241564988069,1.2632814043776663,1.3171420354639392,0.019931173134852827,8.942168426513671,2.2,440
n_generations,10,True,5,1.2926342671943014,1.231929999412178,1.319341087379538,0.031653452388793066,4.176052045822144,4.0,220
n_generations,20,False,5,1.2792726678462951,1.231929999412178,1.302490532969025,0.02645921317253149,10.173250818252564,9.6,420
n_generations,40,False,5,1.2697998147416683,1.2304306132634455,1.2882141861101681,0.02062742720127163,26.552443265914917,15.0,820
mutation_rate,0.1,False,5,1.3216885914750574,1.2980446536958485,1.3466979805429358,0.019874847320836928,11.480769109725951,6.2,220
mutation_rate,0.3,True,5,1.2926342671943014,1.231929999412178,1.319341087379538,0.031653452388793066,4.176052045822144,4.0,220
mutation_rate,0.5,False,5,1.3214079214064196,1.3045761578435913,1.3383983035414282,0.010893183609596336,11.681556558609008,5.0,220
crossover_rate,0.5,False,5,1.301929290499412,1.2661553215576278,1.3235635464081303,0.019127189606511115,5.274532175064087,5.4,220
crossover_rate,0.7,True,5,1.2926342671943014,1.231929999412178,1.319341087379538,0.031653452388793066,4.176052045822144,4.0,220
crossover_rate,0.9,False,5,1.3047205666261845,1.2723974784850627,1.3340671486413456,0.02106388252432651,4.67197208404541,6.0,220
